route_id,origin_port,destination_port,distance_nm
1,Busan,Shanghai,1064
2,Rotterdam,Los Angeles,6522
3,Mumbai,Dubai,1421
4,Durban,Shanghai,14253
5,Singapore,Dubai,9005
6,Mumbai,Santos,615
7,Busan,Hong Kong,10044
8,Santos,New York,895
9,Durban,Hamburg,3336
10,Busan,Rotterdam,7353
11,New York,Rotterdam,4229
12,New York,Hong Kong,8347
13,Hamburg,Durban,5141
14,Los Angeles,Santos,11188
15,Hong Kong,Singapore,10754
16,New York,Los Angeles,1913
17,Busan,Singapore,7814
18,Shanghai,Rotterdam,11475
19,Los Angeles,Sydney,1217
20,Santos,Los Angeles,12425
21,Los Angeles,Shanghai,4575
22,Hong Kong,New York,13914
23,Busan,Dubai,10965
24,Santos,Los Angeles,5376
25,New York,Durban,7651
26,Busan,Singapore,14629
27,Dubai,Hong Kong,13881
28,Los Angeles,Mumbai,3501
29,Busan,Dubai,11221
30,Hamburg,Hong Kong,2584
31,Singapore,Durban,7234
32,Hamburg,Rotterdam,7889
33,Hamburg,Busan,8997
34,New York,Sydney,1705
35,New York,Shanghai,7331
36,Rotterdam,New York,1151
37,Busan,Hong Kong,13653
38,Busan,New York,12222
39,Los Angeles,Hong Kong,10008
40,Rotterdam,Hamburg,2950
41,Rotterdam,Santos,12089
42,Los Angeles,Durban,13182
43,Los Angeles,Sydney,4200
44,Rotterdam,Hong Kong,2467
45,Dubai,Sydney,14538
46,Santos,Los Angeles,4690
47,Singapore,Los Angeles,4581
48,Hong Kong,Hamburg,5700
49,New York,Sydney,8100
50,New York,Sydney,14538
51,Singapore,Santos,11747
52,Hong Kong,Santos,10503
53,Mumbai,Santos,4720
54,Busan,Los Angeles,10277
55,Busan,Shanghai,1022
56,New York,Hamburg,9189
57,Durban,Hamburg,9204
58,Hong Kong,New York,10373
59,Busan,New York,10768
60,Los Angeles,Hong Kong,11915
61,Hong Kong,Sydney,8366
62,Singapore,Sydney,4061
63,Hamburg,Dubai,13501
64,Busan,Rotterdam,2899
65,Hamburg,Singapore,7483
66,Los Angeles,Singapore,4037
67,Hong Kong,Singapore,13722
68,Singapore,New York,8723
69,Sydney,Hong Kong,10129
70,Hamburg,Los Angeles,7012
71,Sydney,Shanghai,13760
72,Busan,Santos,13535
73,Mumbai,Hong Kong,10160
74,Shanghai,New York,5891
75,Sydney,Hamburg,11504
76,Shanghai,Santos,6689
77,Mumbai,Santos,14731
78,Mumbai,Hong Kong,3228
79,Santos,Mumbai,13050
80,New York,Mumbai,13997
81,Hong Kong,Sydney,11583
82,Dubai,Sydney,14457
83,Santos,Hong Kong,13631
84,Durban,Rotterdam,13214
85,Mumbai,Singapore,14933
86,Durban,Los Angeles,9456
87,Hong Kong,Dubai,13903
88,Dubai,Sydney,13556
89,Durban,Shanghai,2812
90,Singapore,Mumbai,6822
91,Hamburg,Mumbai,9761
92,Santos,Hong Kong,5711
93,Mumbai,Shanghai,2424
94,Dubai,Hamburg,3703
95,Singapore,Hamburg,1631
96,Mumbai,Los Angeles,11000
97,Los Angeles,Busan,11862
98,Dubai,Busan,14501
99,New York,Dubai,9765
100,Singapore,Hamburg,9189
101,Rotterdam,Sydney,3775
102,Durban,Hamburg,12166
103,Sydney,Rotterdam,13584
104,Sydney,Mumbai,8121
105,Sydney,Singapore,8439
106,Santos,New York,5394
107,Hamburg,Hong Kong,2319
108,Hong Kong,Rotterdam,9834
109,Santos,Durban,13283
110,Hong Kong,Shanghai,4023
111,Mumbai,Busan,8512
112,Sydney,Rotterdam,12664
113,Shanghai,Los Angeles,5629
114,Santos,Hong Kong,1873
115,Busan,Mumbai,4731
116,Mumbai,Hamburg,3313
117,Shanghai,Rotterdam,13684
118,Los Angeles,Durban,6821
119,Busan,Hong Kong,10941
120,Los Angeles,Mumbai,5333
121,Santos,New York,12965
122,New York,Hamburg,14527
123,Singapore,Busan,4663
124,Dubai,Sydney,12732
125,Hamburg,Santos,13110
126,Busan,Durban,5201
127,Durban,Hamburg,13964
128,Rotterdam,Shanghai,4651
129,Hong Kong,Mumbai,14112
130,Hamburg,Mumbai,10517
131,Sydney,Rotterdam,10389
132,Hamburg,Sydney,11084
133,Rotterdam,Busan,3155
134,Hong Kong,Busan,4056
135,Singapore,Los Angeles,7704
136,Shanghai,Singapore,14963
137,Sydney,Hamburg,6216
138,Durban,New York,12358
139,Mumbai,Hamburg,9395
140,Durban,Shanghai,1212
141,Shanghai,Rotterdam,8547
142,Durban,Los Angeles,9890
143,Singapore,Rotterdam,13189
144,Singapore,Sydney,1269
145,Durban,Sydney,894
146,Shanghai,Hong Kong,11138
147,Shanghai,Busan,9344
148,Los Angeles,Singapore,14571
149,Hong Kong,Shanghai,13770
150,New York,Mumbai,3613
151,Durban,Hong Kong,5410
152,Durban,New York,4263
153,Mumbai,Sydney,14956
154,Singapore,Dubai,14248
155,Rotterdam,Sydney,4683
156,Los Angeles,Busan,5876
157,Santos,Dubai,14304
158,Sydney,Singapore,12457
159,Busan,Durban,2441
160,Durban,Los Angeles,10059
161,New York,Los Angeles,5861
162,Dubai,Durban,8830
163,Singapore,Hong Kong,1953
164,Mumbai,Sydney,12399
165,Los Angeles,Dubai,6771
166,Shanghai,Hamburg,2302
167,Shanghai,Hamburg,12025
168,Santos,Sydney,2248
169,New York,Santos,7791
170,Sydney,Santos,11128
171,Busan,Singapore,1474
172,Mumbai,Los Angeles,526
173,Rotterdam,Los Angeles,11121
174,Santos,Busan,13984
175,Los Angeles,Rotterdam,7687
176,Hamburg,Santos,4854
177,New York,Busan,9532
178,Santos,Hong Kong,6530
179,Los Angeles,Shanghai,2911
180,Busan,Rotterdam,11955
181,Busan,New York,12150
182,Busan,Shanghai,1915
183,Santos,Los Angeles,3990
184,Dubai,Shanghai,10372
185,Sydney,Hong Kong,12824
186,Busan,Durban,8064
187,Mumbai,Singapore,1163
188,Santos,Singapore,11916
189,Dubai,Busan,9326
190,Hamburg,Sydney,11785
191,Santos,Sydney,11834
192,Durban,Santos,3460
193,Busan,Santos,5888
194,Los Angeles,Busan,9036
195,Dubai,Hong Kong,6340
196,Durban,Dubai,12201
197,Los Angeles,Sydney,14055
198,Sydney,Rotterdam,2180
199,Dubai,New York,13763
200,Rotterdam,Hamburg,5079
201,Singapore,Mumbai,11472
202,Hong Kong,Hamburg,8688
203,Hong Kong,Singapore,12628
204,Los Angeles,New York,7967
205,Singapore,New York,980
206,Los Angeles,Shanghai,2966
207,Busan,Sydney,1182
208,Mumbai,Dubai,9023
209,Santos,Sydney,2405
210,Mumbai,Hong Kong,4775
211,Durban,Sydney,11222
212,Rotterdam,Hong Kong,12823
213,Sydney,Busan,9844
214,Singapore,Mumbai,14743
215,Rotterdam,Los Angeles,8403
216,Shanghai,Dubai,9747
217,Shanghai,Los Angeles,3134
218,New York,Dubai,8761
219,Busan,Sydney,3517
220,Sydney,Singapore,12395
221,New York,Santos,4585
222,Durban,Sydney,1616
223,Busan,Hong Kong,5525
224,Los Angeles,Sydney,2465
225,Busan,Los Angeles,11388
226,New York,Sydney,6282
227,New York,Los Angeles,8946
228,Hamburg,Singapore,7439
229,Busan,Los Angeles,10971
230,Durban,Singapore,14529
231,Shanghai,Rotterdam,14822
232,Sydney,Santos,14474
233,Mumbai,Durban,5531
234,Rotterdam,Busan,4549
235,Durban,Mumbai,12570
236,New York,Durban,2424
237,Shanghai,Dubai,5005
238,New York,Dubai,3012
239,Mumbai,Singapore,8015
240,New York,Sydney,7345
241,Hong Kong,New York,13378
242,Los Angeles,Hamburg,9739
243,New York,Sydney,14119
244,Hong Kong,Dubai,12633
245,Dubai,New York,13290
246,New York,Busan,6354
247,Mumbai,Shanghai,7974
248,Busan,Mumbai,12717
249,Durban,New York,4666
